"Ephemeris Data for Mercury Observations From Kitt Peak, AZ; McMath Observatory; All data for 20:00 UTC",,,,,,,,,,,,,,,,,
DateObs,Time,Sun_Data,Illum%,Def_illu,Ang-diam,Ob-lon,Ob-lat,Sl-lon,Sl-lat,r,rdot,delta,deldot,S-O-T,/r,S-T-O,True_Anom
1988-Jan-24,20:00,*m,62.881,2.4558,6.615848,75.03,-6.6,0.06,0.01,0.320205813,-6.4500536,1.016905496,-46.4207982,18.3205,/T,75.0768,320.1164
1988-Jan-25,20:00,*m,58.86,2.7961,6.796483,80,-6.81,0.28,0.01,0.316715893,-5.619568,0.989878566,-47.2853199,18.4597,/T,79.7984,326.0363
1988-Jan-26,20:00,*m,54.59,3.1743,6.990323,85.07,-7.04,0.38,0.01,0.313728861,-4.7101716,0.962429401,-47.8753719,18.5004,/T,84.7388,332.0785
1988-Jan-27,20:00,*m,50.098,3.5917,7.197476,90.26,-7.27,0.37,0.02,0.31128773,-3.7312454,0.934729483,-48.1448667,18.4294,/T,89.8937,338.2263
1988-Jan-28,20:00,*,45.425,4.0482,7.417715,95.57,-7.52,0.28,0.02,0.309429287,-2.694937,0.906976481,-48.0494657,18.2333,/T,95.2556,344.4596
1988-Jan-29,20:00,*,40.623,4.5425,7.650386,101.03,-7.78,0.12,0.02,0.308182565,-1.6158685,0.879392545,-47.5490096,17.8993,/T,100.8142,350.7559
1988-Jan-30,20:00,*,35.757,5.0715,7.894304,106.65,-8.05,359.93,0.03,0.307567555,-0.5106191,0.852221149,-46.610118,17.4149,/T,106.5556,357.0902
1988-Jan-31,20:00,*,30.9,5.63,8.147644,112.43,-8.33,359.72,0.03,0.307594269,0.6029851,0.825722422,-45.2087671,16.7698,/T,112.4625,3.4367
1988-May-01,20:00,*,85.156,0.8308,5.596533,224.61,-0.65,179.29,0.03,0.311531115,3.8430455,1.202117841,-31.8369798,12.7007,/T,45.3279,22.4613
1988-May-02,20:00,*,82.478,0.9963,5.685682,228.78,-0.56,179.29,0.03,0.314034672,4.8147325,1.183269177,-33.4398536,13.704,/T,49.4973,28.598
1988-May-03,20:00,*,79.672,1.1754,5.782008,233,-0.47,179.4,0.03,0.317079587,5.71572,1.16355637,-34.8398273,14.6642,/T,53.6035,34.6271
1988-May-04,20:00,*,76.771,1.3672,5.88549,237.26,-0.37,179.64,0.03,0.320622272,6.5369429,1.143098207,-36.0318705,15.5775,/T,57.6334,40.5323
1988-May-05,20:00,*,73.803,1.5708,5.996082,241.58,-0.27,180.01,0.03,0.32461472,7.2721675,1.122014823,-37.0162047,16.4405,/T,61.577,46.3002
1988-May-06,20:00,*,70.797,1.7854,6.113723,245.95,-0.17,180.53,0.03,0.329006109,7.9178514,1.100424878,-37.7975342,17.2505,/T,65.4271,51.921
1988-May-07,20:00,*,67.776,2.0102,6.238337,250.38,-0.06,181.2,0.03,0.333744284,8.4728645,1.078443233,-38.384128,18.0051,/T,69.1793,57.3879
1988-May-08,20:00,*,64.763,2.2445,6.36984,254.86,0.05,182.03,0.03,0.338777045,8.9381237,1.056179166,-38.7868631,18.7021,/T,72.8317,62.6969
1988-May-09,20:00,*,61.775,2.4878,6.50814,259.4,0.17,183.02,0.03,0.344053218,9.3161914,1.033735132,-39.0183102,19.3397,/T,76.3845,67.8468
1988-May-10,20:00,*m,58.824,2.7395,6.653137,264,0.29,184.17,0.03,0.349523484,9.6108746,1.011206029,-39.0919236,19.9166,/T,79.8399,72.8382
1988-May-11,20:00,*m,55.923,2.9993,6.80473,268.67,0.42,185.47,0.03,0.355140994,9.8268566,0.988678887,-39.0213634,20.4315,/T,83.2016,77.6736
1988-May-12,20:00,*m,53.079,3.267,6.962806,273.4,0.55,186.93,0.03,0.36086178,9.9693747,0.966232913,-38.8199617,20.8832,/T,86.4747,82.357
1988-May-13,20:00,*m,50.297,3.5425,7.127248,278.19,0.69,188.53,0.02,0.366644992,10.043953,0.943939796,-38.5003293,21.2707,/T,89.6649,86.8933
1988-May-14,20:00,*m,47.58,3.8256,7.297921,283.05,0.83,190.28,0.02,0.372453001,10.056191,0.921864215,-38.0740885,21.5931,/T,92.7791,91.2884
1988-May-15,20:00,*m,44.93,4.1163,7.474679,287.98,0.98,192.16,0.02,0.378251396,10.0116029,0.900064452,-37.5517123,21.8495,/T,95.8244,95.5486
1988-May-16,20:00,*m,42.348,4.4146,7.657348,292.97,1.14,194.16,0.02,0.384008899,9.9155025,0.878593086,-36.9424488,22.0389,/T,98.8083,99.6805
1988-May-17,20:00,*m,39.832,4.7206,7.845727,298.03,1.31,196.29,0.02,0.389697221,9.7729249,0.857497706,-36.2543076,22.1605,/T,101.7385,103.6909
1988-May-18,20:00,*m,37.381,5.0343,8.039578,303.16,1.48,198.54,0.01,0.395290893,9.5885784,0.836821618,-35.4940879,22.2133,/T,104.623,107.5869
1988-May-19,20:00,*m,34.994,5.3556,8.238618,308.36,1.66,200.89,0.01,0.400767063,9.3668201,0.816604533,-34.6674341,22.1962,/T,107.4693,111.3752
1988-May-20,20:00,*m,32.669,5.6844,8.442508,313.63,1.85,203.34,0.01,0.406105293,9.1116478,0.796883206,-33.7789085,22.1082,/T,110.2852,115.0625
1988-May-21,20:00,*m,30.405,6.0206,8.650844,318.97,2.04,205.89,0.01,0.411287351,8.8267056,0.777692045,-32.8320744,21.9484,/T,113.0783,118.6555
1988-May-22,20:00,*m,28.199,6.3639,8.863147,324.39,2.24,208.52,0,0.416297011,8.5152966,0.759063657,-31.8295862,21.7156,/T,115.8557,122.1605
1988-May-23,20:00,*m,26.051,6.7138,9.078848,329.88,2.45,211.24,0,0.421119863,8.1804028,0.741029348,-30.7732866,21.4089,/T,118.6245,125.5837
1988-May-24,20:00,*,23.96,7.0697,9.297279,335.45,2.67,214.03,0,0.425743131,7.8247067,0.72361956,-29.6643078,21.0273,/T,121.3914,128.9308
1988-May-25,20:00,*,21.927,7.4308,9.517659,341.1,2.9,216.89,0,0.430155508,7.4506156,0.706864252,-28.5031794,20.57,/T,124.1625,132.2077
1988-May-26,20:00,*,19.952,7.7959,9.739083,346.82,3.13,219.82,0,0.434347004,7.0602858,0.690793215,-27.2899428,20.0364,/T,126.9438,135.4195
1988-May-27,20:00,*,18.038,8.1638,9.960514,352.62,3.37,222.8,-0.01,0.438308808,6.6556463,0.675436322,-26.0242728,19.426,/T,129.7404,138.5717
1988-May-28,20:00,*,16.187,8.5328,10.18077,358.5,3.61,225.84,-0.01,0.442033163,6.2384223,0.6608237,-24.7056081,18.7387,/T,132.5571,141.6689
1988-May-29,20:00,*,14.403,8.9008,10.39852,4.46,3.86,228.93,-0.01,0.445513256,5.8101562,0.646985828,-23.3332899,17.9749,/T,135.3977,144.7161
1988-May-30,20:00,*,12.691,9.2654,10.61228,10.5,4.11,232.07,-0.01,0.448743117,5.3722282,0.633953556,-21.9067066,17.1356,/T,138.2654,147.7177
1988-May-31,20:00,*,11.057,9.624,10.82044,16.61,4.37,235.25,-0.01,0.451717531,4.9258751,0.621758034,-20.4254407,16.2221,/T,141.1621,150.678
1988-Jul-01,20:00,*,25.05,6.7443,8.998404,214.02,7.54,334.23,-0.03,0.410397304,-8.878318,0.747653984,32.4422314,20.4784,/L,119.9287,241.9634
1988-Jul-02,20:00,*,27.321,6.3781,8.775785,219.55,7.44,336.76,-0.03,0.405187997,-9.1582696,0.766620059,33.5979489,20.8067,/L,116.9682,245.5715
1988-Jul-03,20:00,*,29.667,6.0183,8.556848,224.99,7.35,339.2,-0.03,0.39982564,-9.407854,0.786234899,34.6922259,21.0575,/L,113.9897,249.2751
1988-Jul-04,20:00,*,32.089,5.6653,8.342228,230.36,7.25,341.53,-0.03,0.394328822,-9.6233699,0.806462338,35.7215358,21.2315,/L,110.9859,253.0808
1988-Jul-05,20:00,*,34.587,5.3197,8.132462,235.66,7.15,343.75,-0.03,0.388718371,-9.8007603,0.82726391,36.6814235,21.3298,/L,107.9493,256.9952
